outcome,sex,model,estimator,term,n_used,coef,p_value,note
major_intent_y1_stem,female,M3_CGN_PC2_interaction,school_fe_ols,cgn_x_pc2_z,98575,0.0008830383504578842,0.5969430876408538,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,male,M1_CGN_only,school_fe_ols,cgn01,90421,-0.03340871508312488,1.603114786898937e-20,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,male,M2_CGN_plus_PC2,school_fe_ols,cgn01,90421,-0.03131115867651476,9.701420687172492e-18,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,male,M2_CGN_plus_PC2,school_fe_ols,pc2_z,90421,0.0053688259964640205,0.00011286169759463275,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,male,M3_CGN_PC2_interaction,school_fe_ols,cgn01,90421,-0.03086444027972106,1.4768434947120812e-16,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,male,M3_CGN_PC2_interaction,school_fe_ols,pc2_z,90421,0.004737614217980587,0.00554290789911228,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_stem,male,M3_CGN_PC2_interaction,school_fe_ols,cgn_x_pc2_z,90421,0.0021305502286543933,0.44368710681796,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,female,M1_CGN_only,school_fe_ols,cgn01,98575,0.0019352297960130347,6.441610905095445e-07,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,female,M2_CGN_plus_PC2,school_fe_ols,cgn01,98575,0.0019320947599451796,7.232294194229362e-07,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,female,M2_CGN_plus_PC2,school_fe_ols,pc2_z,98575,-2.179023351932379e-05,0.8424029996669455,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,female,M3_CGN_PC2_interaction,school_fe_ols,cgn01,98575,0.001933559147816373,7.247171700353995e-07,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,female,M3_CGN_PC2_interaction,school_fe_ols,pc2_z,98575,4.86754391350018e-05,0.5966546643566195,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,female,M3_CGN_PC2_interaction,school_fe_ols,cgn_x_pc2_z,98575,-0.0002492122046837698,0.3964910670712932,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,male,M1_CGN_only,school_fe_ols,cgn01,90421,-0.05276095144846782,1.7342162451005292e-119,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,male,M2_CGN_plus_PC2,school_fe_ols,cgn01,90421,-0.0520330768560596,3.796437794781112e-114,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,male,M2_CGN_plus_PC2,school_fe_ols,pc2_z,90421,0.0018630402603582105,0.035189721637897846,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,male,M3_CGN_PC2_interaction,school_fe_ols,cgn01,90421,-0.052692631570776596,2.6947050857113593e-115,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,male,M3_CGN_PC2_interaction,school_fe_ols,pc2_z,90421,0.0027949891289783205,0.015053425477883827,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_intent_y1_engineering,male,M3_CGN_PC2_interaction,school_fe_ols,cgn_x_pc2_z,90421,-0.0031456381880314954,0.07429721565302697,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,female,M1_CGN_only,school_fe_ols,cgn01,20973,0.046493583577169,2.631469707872239e-15,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,female,M2_CGN_plus_PC2,school_fe_ols,cgn01,20973,0.04686554439901908,1.4950154290359765e-15,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,female,M2_CGN_plus_PC2,school_fe_ols,pc2_z,20973,0.0031208380187309867,0.1652201031833378,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,female,M3_CGN_PC2_interaction,school_fe_ols,cgn01,20973,0.04676798550701325,1.2292958858023394e-15,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,female,M3_CGN_PC2_interaction,school_fe_ols,pc2_z,20973,0.002889420568525812,0.26414000175708807,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,female,M3_CGN_PC2_interaction,school_fe_ols,cgn_x_pc2_z,20973,0.0007837397540383412,0.8926763220291428,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,male,M1_CGN_only,school_fe_ols,cgn01,27921,-0.100011461442045,1.6580542895757692e-66,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,male,M2_CGN_plus_PC2,school_fe_ols,cgn01,27921,-0.10664660230581473,5.859449863697336e-75,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,male,M2_CGN_plus_PC2,school_fe_ols,pc2_z,27921,-0.018916427007660813,2.1630615921203574e-10,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,male,M3_CGN_PC2_interaction,school_fe_ols,cgn01,27921,-0.10694130034870386,6.253097044217053e-75,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,male,M3_CGN_PC2_interaction,school_fe_ols,pc2_z,27921,-0.018259808751545148,4.814753958368195e-07,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,male,M3_CGN_PC2_interaction,school_fe_ols,cgn_x_pc2_z,27921,-0.0022173757283259184,0.7131539010321952,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,female,M1_CGN_only,school_fe_ols,cgn01,20973,0.004421074780620102,0.0012946272336805413,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,female,M2_CGN_plus_PC2,school_fe_ols,cgn01,20973,0.004462435903036202,0.0011631187835097485,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,female,M2_CGN_plus_PC2,school_fe_ols,pc2_z,20973,0.00034702946049940857,0.48636335498838823,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,female,M3_CGN_PC2_interaction,school_fe_ols,cgn01,20973,0.004557441390649529,0.0008647430266797895,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,female,M3_CGN_PC2_interaction,school_fe_ols,pc2_z,20973,0.0005723900324261416,0.23901990064459855,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,female,M3_CGN_PC2_interaction,school_fe_ols,cgn_x_pc2_z,20973,-0.0007632269695098669,0.5351485589787386,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,male,M1_CGN_only,school_fe_ols,cgn01,27921,-0.08672852298017146,1.472759500280745e-94,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,male,M2_CGN_plus_PC2,school_fe_ols,cgn01,27921,-0.08983770694120269,8.025214997714299e-99,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,male,M2_CGN_plus_PC2,school_fe_ols,pc2_z,27921,-0.008864114969041088,1.3993956678491409e-05,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,male,M3_CGN_PC2_interaction,school_fe_ols,cgn01,27921,-0.09002852444669156,2.670623083117605e-100,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,male,M3_CGN_PC2_interaction,school_fe_ols,pc2_z,27921,-0.008438953483535239,0.0012781812095112373,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,male,M3_CGN_PC2_interaction,school_fe_ols,cgn_x_pc2_z,27921,-0.0014357547171420812,0.720289205907321,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,female,M1_CGN_only,school_fe_ols,cgn01,34692,0.0032948842795962703,0.0010868639559491258,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,female,M2_CGN_plus_PC2,school_fe_ols,cgn01,34692,0.0032897572295242155,0.0010627095582193286,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,female,M2_CGN_plus_PC2,school_fe_ols,pc2_z,34692,-4.56591639876931e-05,0.9022937304964058,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,female,M3_CGN_PC2_interaction,school_fe_ols,cgn01,34692,0.003316573127466903,0.0009913892482575249,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,female,M3_CGN_PC2_interaction,school_fe_ols,pc2_z,34692,0.00015521958442552564,0.7072803677363122,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,female,M3_CGN_PC2_interaction,school_fe_ols,cgn_x_pc2_z,34692,-0.0006864509713630615,0.3705842847978378,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,male,M1_CGN_only,school_fe_ols,cgn01,33931,-0.013187094143031795,5.5013582317409075e-06,"For binary outcomes, coefficient is percentage-point change in an LPM."
