outcome,sex,cgn,pc2_group,n,outcome_mean,mean_pc1,mean_pc2,prop_pc2_high,prop_pc2_low
stem_any_ge_4,male,CGN,middle_PC2,15371,0.8400884783032985,0.1468839987575133,0.011411626394234218,0.0,0.0
stem_any_ge_4,male,non_CGN,low_PC2_social_domestic,31576,0.8267038256903978,1.3252072984911687,-1.4566773451209887,0.0,1.0
stem_any_ge_4,male,CGN,low_PC2_social_domestic,13958,0.7548359363805702,0.14908718152440564,-1.8511533132702165,0.0,1.0
stem_any_ge_4,female,non_CGN,high_PC2_technical_physical,36418,0.688231094513702,-1.522033048695841,1.3435315654761144,1.0,0.0
stem_any_ge_4,female,CGN,middle_PC2,15404,0.7207218904180732,-0.11867537862828786,0.05661724974491722,0.0,0.0
stem_any_ge_4,female,CGN,high_PC2_technical_physical,9542,0.8304338713058059,-0.10109131915721088,1.4309186030818932,1.0,0.0
stem_any_ge_4,male,CGN,high_PC2_technical_physical,7106,0.9182381086405854,0.17625807474287772,1.4014798547614022,1.0,0.0
eng_any_ge_5,female,non_CGN,low_PC2_social_domestic,34101,0.05058502683205771,-1.3008971894384973,-1.2365029456983514,0.0,1.0
eng_any_ge_5,male,non_CGN,middle_PC2,75857,0.5045414398143876,1.5324247477863526,0.06315963247238085,0.0,0.0
eng_any_ge_5,female,non_CGN,middle_PC2,76561,0.07126343699794935,-1.569323593498614,0.05344165589862811,0.0,0.0
eng_any_ge_5,female,CGN,low_PC2_social_domestic,11817,0.09706355250909707,-0.1383549817500084,-1.6569122390858841,0.0,1.0
eng_any_ge_5,male,non_CGN,high_PC2_technical_physical,38530,0.659563976122502,1.5734414492814979,1.3359140961490856,1.0,0.0
eng_any_ge_5,male,CGN,middle_PC2,15371,0.34096675557868716,0.1468839987575133,0.011411626394234218,0.0,0.0
eng_any_ge_5,male,non_CGN,low_PC2_social_domestic,31576,0.40385102609576895,1.3252072984911687,-1.4566773451209887,0.0,1.0
eng_any_ge_5,male,CGN,low_PC2_social_domestic,13958,0.30161914314371685,0.14908718152440564,-1.8511533132702165,0.0,1.0
eng_any_ge_5,female,non_CGN,high_PC2_technical_physical,36418,0.11881487176670877,-1.522033048695841,1.3435315654761144,1.0,0.0
eng_any_ge_5,female,CGN,middle_PC2,15404,0.1575564788366658,-0.11867537862828786,0.05661724974491722,0.0,0.0
eng_any_ge_5,female,CGN,high_PC2_technical_physical,9542,0.26650597359044226,-0.10109131915721088,1.4309186030818932,1.0,0.0
eng_any_ge_5,male,CGN,high_PC2_technical_physical,7106,0.5075992119335773,0.17625807474287772,1.4014798547614022,1.0,0.0
stem_any_ge_5,female,non_CGN,low_PC2_social_domestic,34101,0.17131462420456878,-1.3008971894384973,-1.2365029456983514,0.0,1.0
stem_any_ge_5,male,non_CGN,middle_PC2,75857,0.5849031730756555,1.5324247477863526,0.06315963247238085,0.0,0.0
stem_any_ge_5,female,non_CGN,middle_PC2,76561,0.2400438865741043,-1.569323593498614,0.05344165589862811,0.0,0.0
stem_any_ge_5,female,CGN,low_PC2_social_domestic,11817,0.2691038334602691,-0.1383549817500084,-1.6569122390858841,0.0,1.0
stem_any_ge_5,male,non_CGN,high_PC2_technical_physical,38530,0.7321308071632494,1.5734414492814979,1.3359140961490856,1.0,0.0
stem_any_ge_5,male,CGN,middle_PC2,15371,0.4999024136360679,0.1468839987575133,0.011411626394234218,0.0,0.0
stem_any_ge_5,male,non_CGN,low_PC2_social_domestic,31576,0.4822650114010641,1.3252072984911687,-1.4566773451209887,0.0,1.0
stem_any_ge_5,male,CGN,low_PC2_social_domestic,13958,0.42857142857142855,0.14908718152440564,-1.8511533132702165,0.0,1.0
stem_any_ge_5,female,non_CGN,high_PC2_technical_physical,36418,0.361387226096985,-1.522033048695841,1.3435315654761144,1.0,0.0
stem_any_ge_5,female,CGN,middle_PC2,15404,0.36555440145416773,-0.11867537862828786,0.05661724974491722,0.0,0.0
stem_any_ge_5,female,CGN,high_PC2_technical_physical,9542,0.521903164954936,-0.10109131915721088,1.4309186030818932,1.0,0.0
stem_any_ge_5,male,CGN,high_PC2_technical_physical,7106,0.651843512524627,0.17625807474287772,1.4014798547614022,1.0,0.0
