outcome,sex,model,estimator,term,n_used,coef,p_value,note
major_intent_y1_engineering,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,90421,0.0020054998970050987,0.6592895479330296,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,female,CGN_x_PC2_continuous,school_fe_ols,cgn01,20973,0.04676798550701325,1.2292958858023394e-15,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,female,CGN_x_PC2_continuous,school_fe_ols,pc2_z,20973,0.002889420568525812,0.26414000175708807,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,female,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,20973,0.0007837397540383412,0.8926763220291428,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,20973,0.04563340021329789,7.110362238651378e-12,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,female,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,20973,0.004565994962445615,0.3015057600003128,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,20973,0.0028258031497136638,0.8136426765103539,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,male,CGN_x_PC2_continuous,school_fe_ols,cgn01,27921,-0.10694130034870386,6.253097044217053e-75,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,male,CGN_x_PC2_continuous,school_fe_ols,pc2_z,27921,-0.018259808751545148,4.814753958368195e-07,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,male,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,27921,-0.0022173757283259184,0.7131539010321952,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,27921,-0.10366287490492135,1.4973129667832547e-57,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,male,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,27921,-0.0390446296945833,4.4789042465846824e-08,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_stem,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,27921,0.002088418258266818,0.8771117720560675,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,female,CGN_x_PC2_continuous,school_fe_ols,cgn01,20973,0.004557441390649529,0.0008647430266797895,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,female,CGN_x_PC2_continuous,school_fe_ols,pc2_z,20973,0.0005723900324261416,0.23901990064459855,"For binary outcomes, coefficient is percentage-point change in an LPM."
