outcome,sex,contrast,difference
stem_any_ge_5,male,among_nonCGN_highPC2_minus_lowPC2,0.24986579576218532
stem_any_ge_5,male,highPC2_CGN_minus_nonCGN,-0.08028729463862239
stem_any_ge_5,male,lowPC2_CGN_minus_nonCGN,-0.053693582829635544
stem_job_y11,female,among_CGN_highPC2_minus_lowPC2,-0.00011987232507630965
stem_job_y11,female,among_nonCGN_highPC2_minus_lowPC2,-0.0005776708025569555
stem_job_y11,female,highPC2_CGN_minus_nonCGN,0.0025497100597999447
stem_job_y11,female,lowPC2_CGN_minus_nonCGN,0.002091911582319299
stem_job_y11,male,among_CGN_highPC2_minus_lowPC2,-0.005544557603540112
stem_job_y11,male,among_nonCGN_highPC2_minus_lowPC2,-0.005326478342277799
stem_job_y11,male,highPC2_CGN_minus_nonCGN,-0.013943869182921537
stem_job_y11,male,lowPC2_CGN_minus_nonCGN,-0.013725789921659223
